Instance,Algorithm,Status,Time,Cost,Error
17.in,Exact,Success,18.7221,2085.0,
17.in,Constructive,Success,0.0240,2187.0,
17.in,LocalSearch,Success,0.0251,2085.0,
17.in,GRASP_LS,Success,0.0693,2085.0,
51.in,Exact,Success,60.0238,449.0,
51.in,Constructive,Success,0.0246,511.0,
51.in,LocalSearch,Success,0.0958,438.0,
51.in,GRASP_LS,Success,3.3757,439.0,
52.in,Exact,Success,60.0253,8021.0,
52.in,Constructive,Success,0.0240,8980.0,
52.in,LocalSearch,Success,0.0636,7967.0,
52.in,GRASP_LS,Success,4.3633,7672.0,
